DLTR_Date,DLTR_Close
7/21/2015 16:00:00,79.82
7/22/2015 16:00:00,79.21
7/23/2015 16:00:00,78.24
7/24/2015 16:00:00,78.53
7/27/2015 16:00:00,77.74
7/28/2015 16:00:00,78.14
7/29/2015 16:00:00,77.59
7/30/2015 16:00:00,77.59
7/31/2015 16:00:00,78.03
8/3/2015 16:00:00,77.66
8/4/2015 16:00:00,77.8
8/5/2015 16:00:00,78.58
8/6/2015 16:00:00,77.6
8/7/2015 16:00:00,77.26
8/10/2015 16:00:00,78.11
8/11/2015 16:00:00,77.69
8/12/2015 16:00:00,77.32
8/13/2015 16:00:00,77.33
8/14/2015 16:00:00,77.78
8/17/2015 16:00:00,78.48
8/18/2015 16:00:00,79.37
8/19/2015 16:00:00,80.92
8/20/2015 16:00:00,80.38
8/21/2015 16:00:00,76.35
8/24/2015 16:00:00,73.71
8/25/2015 16:00:00,73.16
8/26/2015 16:00:00,77.34
8/27/2015 16:00:00,76.79
8/28/2015 16:00:00,76.73
8/31/2015 16:00:00,76.26
9/1/2015 16:00:00,69.65
9/2/2015 16:00:00,67.59
9/3/2015 16:00:00,67
9/4/2015 16:00:00,68.09
9/8/2015 16:00:00,68.79
9/9/2015 16:00:00,67.94
9/10/2015 16:00:00,66.06
9/11/2015 16:00:00,66.46
9/14/2015 16:00:00,65.34
9/15/2015 16:00:00,66.24
9/16/2015 16:00:00,67.71
9/17/2015 16:00:00,67.83
9/18/2015 16:00:00,66.65
9/21/2015 16:00:00,67.85
9/22/2015 16:00:00,69.18
9/23/2015 16:00:00,69.89
9/24/2015 16:00:00,69.25
9/25/2015 16:00:00,70.11
9/28/2015 16:00:00,68.7
9/29/2015 16:00:00,66.24
9/30/2015 16:00:00,66.66
10/1/2015 16:00:00,67.44
10/2/2015 16:00:00,66.95
10/5/2015 16:00:00,68.12
10/6/2015 16:00:00,65.19
10/7/2015 16:00:00,62.9
10/8/2015 16:00:00,62.08
10/9/2015 16:00:00,63.36
10/12/2015 16:00:00,63.05
10/13/2015 16:00:00,63.46
10/14/2015 16:00:00,61.38
10/15/2015 16:00:00,62.8
10/16/2015 16:00:00,63.46
10/19/2015 16:00:00,63.83
10/20/2015 16:00:00,64.12
10/21/2015 16:00:00,64.28
10/22/2015 16:00:00,64.8
10/23/2015 16:00:00,62.53
10/26/2015 16:00:00,63.68
10/27/2015 16:00:00,63.02
10/28/2015 16:00:00,63.96
10/29/2015 16:00:00,64.86
10/30/2015 16:00:00,65.49
11/2/2015 16:00:00,66.22
11/3/2015 16:00:00,67.55
11/4/2015 16:00:00,67.16
11/5/2015 16:00:00,67.71
11/6/2015 16:00:00,67.97
11/9/2015 16:00:00,67.61
11/10/2015 16:00:00,67.85
11/11/2015 16:00:00,66.5
11/12/2015 16:00:00,66.57
11/13/2015 16:00:00,62.21
11/16/2015 16:00:00,62.79
11/17/2015 16:00:00,64.23
11/18/2015 16:00:00,66.63
11/19/2015 16:00:00,67.16
11/20/2015 16:00:00,68.42
11/23/2015 16:00:00,69.55
11/24/2015 16:00:00,74.16
11/25/2015 16:00:00,74.93
11/27/2015 16:00:00,75.08
11/30/2015 16:00:00,75.46
12/1/2015 16:00:00,75.97
12/2/2015 16:00:00,76.04
12/3/2015 16:00:00,74.09
12/4/2015 16:00:00,77.24
12/7/2015 16:00:00,78.45
12/8/2015 16:00:00,79.48
12/9/2015 16:00:00,78.45
12/10/2015 16:00:00,77.81
12/11/2015 16:00:00,76.45
12/14/2015 16:00:00,77.71
12/15/2015 16:00:00,77.34
12/16/2015 16:00:00,78.86
12/17/2015 16:00:00,76.58
12/18/2015 16:00:00,76.09
12/21/2015 16:00:00,76.9
12/22/2015 16:00:00,77.86
12/23/2015 16:00:00,77.04
12/24/2015 16:00:00,76.68
12/28/2015 16:00:00,77.24
12/29/2015 16:00:00,78.02
12/30/2015 16:00:00,77.62
12/31/2015 16:00:00,77.22
1/4/2016 16:00:00,78.81
1/5/2016 16:00:00,79.98
1/6/2016 16:00:00,80.52
1/7/2016 16:00:00,78.45
1/8/2016 16:00:00,77.79
1/11/2016 16:00:00,77.36
1/12/2016 16:00:00,78.7
1/13/2016 16:00:00,75.48
1/14/2016 16:00:00,75.7
1/15/2016 16:00:00,75.3
1/19/2016 16:00:00,76.89
1/20/2016 16:00:00,76.03
1/21/2016 16:00:00,77.03
1/22/2016 16:00:00,77.26
